value_id,display_value,raw_value,units,source_file,source_columns,analysis_step,figure_table_reference,manuscript_location
A_off_severed_fraction,0.279804901554288,0.279804901554288,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_within_district_retention,642680.5,642680.5,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_cross_pref_flow,39733.0,39733.0,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_cross_pref_flow_severed,39733.0,39733.0,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_cross_pref_flow_retained,0.0,0.0,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_total_boundary_m,5401252.408704229,5401252.408704229,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_objective,1870325.0,1870325.0,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
A_off_status,FEASIBLE,FEASIBLE,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
cost_border_A,-77004.0,-77004.0,,outputs/tables/model_results.csv,"objective,best_objective,bound,metrics",aggregate_results,T3,Results §3.2
B_base_max_min_ratio,1.3163529563784768,1.3163529563784768,,outputs/tables/model_results.csv,,aggregate_results,,
B_base_max_rel_dev,0.1624584731756944,0.1624584731756944,,outputs/tables/model_results.csv,,aggregate_results,T3,Results §3.2
B_base_mean_abs_dev,0.08277760338801045,0.08277760338801045,,outputs/tables/model_results.csv,,aggregate_results,,
B_base_rms_dev,0.09465118953858934,0.09465118953858934,,outputs/tables/model_results.csv,,aggregate_results,,
B_base_contiguous,True,True,,outputs/tables/model_results.csv,,aggregate_results,,
B_base_polsby_popper_mean,0.03251846341409881,0.03251846341409881,,outputs/tables/model_results.csv,,aggregate_results,T3,Results §3.2
B_base_polsby_popper_min,0.01095788735071851,0.01095788735071851,,outputs/tables/model_results.csv,,aggregate_results,,
B_base_n_split_munis,1.0,1.0,,outputs/tables/model_results.csv,,aggregate_results,T3,Results §3.2
B_base_severed_flow_total,243922.56924311048,243922.56924311048,,outputs/tables/model_results.csv,,aggregate_results,T3,Results §3.2
B_base_severed_fraction,0.27334241317291086,0.27334241317291086,,outputs/tables/model_results.csv,,aggregate_results,,
B_base_within_district_retention,648447.4307568895,648447.4307568895,,outputs/tables/model_results.csv,,aggregate_results,,
B_base_cross_pref_flow,39733.0,39733.0,,outputs/tables/model_results.csv,,aggregate_results,,
B_base_cross_pref_flow_severed,39733.0,39733.0,,outputs/tables/model_results.csv,,aggregate_results,,
B_base_cross_pref_flow_retained,0.0,0.0,,outputs/tables/model_results.csv,,aggregate_results,,
B_base_total_boundary_m,5424410.763412877,5424410.763412877,,outputs/tables/model_results.csv,,aggregate_results,,
B_base_objective,0.6245294675099053,0.6245294675099053,,outputs/tables/model_results.csv,,aggregate_results,,
